tableName,seriesName,label,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
AGR_CO2N_Price,ENV-CO2,MEUR/kt,0.0,0.0,0.0,0.0832418044068113,0.0865714765831056,0.090034335603489,0.0936357090276285,0.0973811373887337,0.13555977126262,0.140982162113125,0.14662144859765,0.152486306541556,0.158585758803218,0.123218205197388,0.128146933405284,0.133272810741495,0.138603723171155,0.144147872098001,0.149913786981921,0.155910338461198,0.162146751999646,0.168632622079632,0.175377926962817,0.18239304404133,0.189688765802983,0.197276316435103,0.205167369092507,0.213374063856207,0.221909026410455,0.230785387466873,0.240016802965548,0.24961747508417,0.259602174087537,0.153360360005671
AGR_FEC,AGRBDL,PJ,0.0,0.0037194576072736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0998177423842e-06,0.0,0.0,0.0,0.0,0.234774211890267,0.0
AGR_FEC,AGRBIO,PJ,0.0349068337710729,0.0018883468509452,0.0,0.0253586664923819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256403579653545,0.0
AGR_FEC,AGRDST,PJ,8.5,8.7,8.5,8.5,12.1,10.2084944936292,10.1307201094494,9.12320397184516,10.0281951049136,9.97549089864708,9.92294168986696,9.8705459489024,8.45448518315328,8.44543249801002,8.43630624134216,8.42710546942877,8.41782913159719,8.40847619967188,8.38616506670359,8.36384537309324,8.34151635535267,8.31917733319929,8.29682751898024,8.27457710632482,8.25231170494231,8.23003066030803,8.20773344013962,8.18541820151814,8.16369260049779,8.14193465924895,8.12014546500166,8.09832434012325,7.80408795489756,8.07647295768953
AGR_FEC,AGRELC,PJ,2.0999999999796795,1.999999999980297,2.0999999999765495,1.999999999979084,1.8999999999787893,0.0,0.0,1.2152072651392523,0.0,0.0,0.0,0.0,1.896134534699303,1.8882518027324198,1.8803719800840575,1.8724948200273834,1.864620232675459,1.8567480934910747,1.8460429569226977,1.835373231235916,1.8247385753538832,1.8141388948711745,1.8035739701721403,1.7930675774868539,1.7825948224560546,1.772155544652418,1.7617495957834357,1.7513766799306922,1.7411659742060162,1.730984158631825,1.7208316982666372,1.7107083668789032,1.6759907111465322,1.7006136685552895
AGR_FEC,AGRGAS,PJ,0.150016129172504,0.0071837506337597,0.159316295786863,0.0790393285856382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGR_FEC,AGRGEO,PJ,0.0,0.0001063535830267,0.0,0.0017095539563903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGR_FEC,AGRLPG,PJ,0.043915392074,0.0023006031902257,0.0552878431122163,0.0294901557564407,0.0,0.363995604602698,0.387677974127851,0.154881096080437,0.436528346244411,0.460682389170121,0.484698556461603,0.508576899861017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365935495986351,0.0
AGR_FEC,AGRSOL,PJ,0.0,0.0004255130168859,0.0,0.006838278135176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND-CAF_FEC,INDBGS,PJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015776977386147334,0.015777047456440752,0.015777059391956838,0.01577707064468962,0.015777039908356428,0.01577703538268835,0.015777018754934327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND-CAF_FEC,INDBIO,PJ,0.0,0.0,0.0,0.0,0.284269542945837,0.3677650576862652,0.480296876044664,0.6016153686712961,0.7229339395731595,0.8137352785778336,0.9275401913998693,0.9965726711997704,0.7123030761970857,0.7123029560235076,0.7123031314786031,0.7123031310890947,0.7123031224682788,0.7123030649154215,0.7123029417254472,0.6757694309327884,0.7788591599553649,0.8809653671173807,1.0324871223660683,1.0465188662616338,1.1503240623552313,1.066828656897326,0.9542968043724688,0.8329780993715125,0.4010672521213288,0.47946695483744883,0.44648409295362135,0.4380210998512262,0.4864350121249631,0.486435150638729
IND-CAF_FEC,INDCOA,PJ,0.38368813168649407,0.1872913726053038,0.35296288650955476,0.3376141762261629,0.3222654220449234,0.153405102099879,0.14597209673945288,0.1385426438563907,0.1311196155456606,0.1237330405556142,0.1164049914410609,0.10919654058259011,0.10227018635884541,0.09618773375414269,0.0950623973584961,0.1382509365363066,0.13812772717954802,0.1227802022162987,0.1074326772129183,0.0920851521823991,0.0767376271642897,0.061390102180213194,0.0460425772438331,0.0306950523691459,0.0153475276106216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
