tableName,seriesName,label,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
AGR_CO2N_Price,ENV-CO2,MEUR/kt,0.0,0.0,0.0,0.0681778418100492,-9.99998996678424e-05,-0.217269707208023,-0.221506181791165,-0.225742540526304,-0.228918974568527,-0.232095321712094,-0.235271582077715,-0.238447755547281,-0.241623842155155,0.100919860586344,0.104956655009798,0.10915492121019,0.113521118058598,0.118061962780941,0.122784441292179,0.127695818943866,0.132803651701621,0.138115797769686,0.143640429680466,0.149386046867692,0.1553614887424,0.161575948292096,0.16803898622378,0.174760545672731,0.18175096749964,0.189021006199626,0.196581846447611,0.204445120305515,0.212622925117736,0.220365140502007
AGR_FEC,AGRBDL,PJ,0.0,0.0037194495210323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01423172428015e-06,5.13553787363525e-06,1.02471340258116e-05,1.48551478573244e-05
AGR_FEC,AGRBIO,PJ,0.0349068525233543,0.0018883476564329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGR_FEC,AGRDST,PJ,8.5,8.7,8.5,8.5,12.1,12.6913319306603,13.3034705627412,13.2102160391769,13.1596128214991,12.9754325776943,12.7910808486636,12.6496727371272,12.5068659683797,8.44543279826281,8.4363063567275,8.42710556143876,8.41782922083276,8.40847629679581,8.38616529730967,8.36384564607194,8.34151670288362,8.3191776971231,8.29682792654709,8.27457734135051,8.25231191457978,8.23003071281128,8.20773393790893,8.18542027830244,8.16369303989736,8.14193488090295,8.12014184686329,8.09832026197563,8.07646272298676,8.07645794601281
AGR_FEC,AGRELC,PJ,2.0999999999939476,1.9999999999894738,2.0999999999907315,1.9999999999912532,1.8999999999914126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8882513828076692,1.8803718195937549,1.8724946943988101,1.8646201054997025,1.8567479913006453,1.8460428473933321,1.8353730560459176,1.8247384316858668,1.814138780260473,1.8035738691276142,1.793067496346723,1.782594776445216,1.7721555066144945,1.7617495772549978,1.7513768305484185,1.7411658300667907,1.7309839164501022,1.7208311145570705,1.7107075924424142,1.7006123966030642,1.7006116666184417
AGR_FEC,AGRGAS,PJ,0.150016126616601,0.0071837501271697,0.159316301239834,0.096159066119706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGR_FEC,AGRGEO,PJ,0.0,0.000106357676181,0.0,0.0020798481940825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGR_FEC,AGRLPG,PJ,0.04391539187763,0.0023006033494508,0.0552878451921617,0.0358776574275089,0.0,0.45251932536065,0.509086585264116,0.540189590745551,0.572834165631486,0.599218702173847,0.624790984482391,0.651764968414197,0.678077159625917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64394827387443e-06,2.32379342068082e-06
AGR_FEC,AGRSOL,PJ,0.0,0.0004255161335135,0.0,0.0083194419660508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND-CAF_FEC,INDBGS,PJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.234462189966313e-06,0.030025617727831445,0.030025641143959884,0.0,0.0,0.0
IND-CAF_FEC,INDBIO,PJ,0.0,0.0,0.0,0.0,0.0,0.001562234806606243,0.31835930170529586,0.4037788019547458,0.4345652777372929,0.25734384292966017,0.12654401750950192,0.3176325056032367,0.4345652318864695,0.43456524264718677,0.4345652833221195,0.434565286356841,0.43456528923272625,0.4345652268376066,0.43456522856137086,0.43456523039758455,0.4345652323393552,0.43456515297267384,0.4345649615946521,0.4345652376720629,0.43456522877525683,0.4330030452340352,0.11620589366444785,0.03031707541352025,0.0,0.0,0.0,0.0,1.890800492535116e-05,1.9003796446513457e-05
IND-CAF_FEC,INDCOA,PJ,0.38368813170434657,0.1880388124711545,0.3529653498857292,0.3376167549292164,0.3222682427705526,0.1535543026715519,0.1461869577469147,0.1386060843055552,0.131205524032123,0.1238135629197551,0.11648795448840539,0.1092777224026382,0.10235332538835801,0.096290016747172,0.0951732790464493,0.1382576234414421,0.1381277421633323,0.1227802185795617,0.1074326942434387,0.0920851696279526,0.07673764485888329,0.061390119995794204,0.0460425950728504,0.030695070118397803,0.015347545166892702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
